Nozawa Bonch
Dietrich Bonhoeffer
Arna Wendell Bontemps
Luke Booker
Kurt Boone
Jorge Luis Borges
Tadeusz Borowski
Hristo Botev
Gordon Bottomley
David Bottoms
Cathy Smith Bowers
Edgar Bowers
Tadeusz Boy-eleski
Mark Alexander Boyd
Kay Boyle
Alison Brackenbury
Anne
Di Brandt
Giannina Braschi
Kamau Brathwaite
Richard Brautigan
Bertolt Brecht
Gerbrand Adriaensz Bredero
Radovan Brenkus
Christopher Brennan
Joseph Payne Brennan
Clemens Brentano
Andr Breton
Nicholas Breton
Ken Brewer
Breyten Breytenbach
Robert Bridges
Robert Bringhurst
Geoffrey Brock
Eve Brodlique
Joseph Brodsky
Wladyslaw Broniewski
William Bronk
Anne Bront
Charlotte Bront
Emily Bront
Rupert Brooke
Gwendolyn Brooks
Hans Adolph Brorson
Joan Brossa
Nicole Brossard
Olga Broumas
Flora Brovina
Petrus Brovka
George Mackay Brown
James Brown known as J. B. Selkirk
Sterling Brown
Thomas Edward Brown
Frances Browne
William Browne
Elizabeth Barrett Browning
Robert Browning
William Cullen Bryant
Colette Bryce
Bryher
Valeri Bryusov
Jan Brzechwa
Dugald Buchanan
Robert Williams Buchanan
Georg Bchner
August Buchner
Vincent Buckley
David Budbill
Andrea Hollander Budy
Teodor Bujnicki
Charles Bukowski
Ivan Bunin
Basil Bunting
Anthony Burgess
Robert Burns
Stanley Burnshaw
John Burnside
William S. Burroughs
Andrzej Bursa
Yosa Buson
Raegan Butcher
Ray Buttigieg
Ignazio Buttitta
Anthony Butts
Kathryn Stripling Byer
Witter Bynner
George Gordon Byron
Lus de Cames
Lydia Cabrera
Dilys Cadwaladr
Cdmon
Maoilios Caimbeul
Scott Cairns
Alison Calder
Angus Calder
Pedro Caldern de la Barca y Barreda Gonzlez de Henao Ruiz de Blasco y Riao
Musa Clil
Barry Callaghan
Michael Feeney Callan
Callimachus
Robert Calvert
Norman Cameron
Lus de Cames
Angus Peter Campbell
David Campbell
Roy Campbell
Thomas Campbell
Jan Campert
Remco Campert
Thomas Campion
Matilde Camus
Melville Henry Cane
Ivan Cankar
May Wedderburn Cannan
Edip Cansever
Cao Cao
Cao Pi
Cao Zhi
Vahni Capildeo
Ernesto Cardenal
Giosu Carducci
Thomas Carew
Henry Carey
Robert Carliell
Bliss Carman
Fern G. Z. Carr
Jim Carroll
Lewis Carroll
Hayden Carruth
Ann Elizabeth Carson
Anne Carson
Elizabeth Carter
Jared Carter
William Cartwright
Neal Cassady
Cyrus Cassells
Rosala de Castro
Catullus
Charles Causley
C. P. Cavafy
Guido Cavalcanti
Nick Cave
Margaret Cavendish
Paul Celan
Thomas Centolella
Blaise Cendrars
Anica ernej
Luis Cernuda
Aim Csaire
Mrio Cesariny de Vasconcelos
rsula Cspedes
Ashok Chakradhar
John Chalkhill
Jean Chapelain
Arthur Chapman
George Chapman
Fred Chappell
Ren Char
Charles
Craig Charles
Thomas Chatterton
Geoffrey Chaucer
Subhadra Kumari Chauhan
Reverend Fr. Fray Angelico Chavez
Susana Chvez
Syl Cheney-Coker
Andrea Cheng
Kelly Cherry
G. K. Chesterton
Choe Chiwon
Fukuda Chiyo-ni
Henri Chopin
Jean Chopinel
Chrtien de Troyes
Ralph Chubb
Charles Churchill
John Ciardi
Colley Cibber
Jovan irilov
Carson Cistulli
Hlne Cixous
Amy Clampitt
Kate Clanchy
John Clanvowe
John Clare
Elizabeth Clark
Austin Clarke
George Elliott Clarke
Gillian Clarke
Paul Claudel
Claudian
Matthias Claudius
Hugo Claus
Brian P. Cleary
Jack Clemo
Michelle Cliff
Lucille Clifton
Arthur Hugh Clough
Grace Stone Coates
Robbie Coburn
Alison Cockburn
Jean Cocteau
Judith Ortiz Cofer
Leonard Cohen
Wanda Coleman
Hartley Coleridge
Mary Elizabeth Coleridge
Samuel Taylor Coleridge
Edward Coletti
Billy Collins
William Collins
William Congreve
Stewart Conn
Paul Conneally
Robert Conquest
Henry Constable
David Constantine
Clark Coolidge
Wendy Cope
Robert Copland
Julia Copus
Denys Corbet
Tristan Corbire
Cid Corman
Alfred Corn
Frances Cornford
F. M. Cornford
Joe Corrie
Gregory Corso
Jayne Cortez
George Cobuc
Charles Cotton
Abraham Cowley
Malcolm Cowley
William Cowper
George Crabbe
Hart Crane
Stephen Crane
Richard Crashaw
Robert Creeley
Octave Crmazie
Ann Batten Cristall
Charles Cros
Aleister Crowley
Andrew Crozier
Gyrgy Csandy
Sndor Csori
Cui Hao
Countee Cullen
Necati Cumal
E. E. Cummings
Allan Cunningham
James Vincent Cunningham
Allen Curnow
Ivor Cutler
Jzef Czechowicz
Gergely Czuczor
Tytus Czyewski
Dalpatram
Roque Dalton
Ruby Dhal
Sapardi Djoko Damono
Samuel Daniel
David Daniels
Jeffrey Daniels
Thomas d'Angleterre
Gabriele D'Annunzio
Hugh Antoine d'Arcy
Rubn Daro
Keki Daruwalla
Erasmus Darwin
Mahmoud Darwish
Elizabeth Daryush
Jibanananda Das
Petter Dass
Mina Dastgheib
Ren Daumal
Jean Daurat
William Davenant
Guy Davenport
Donald Davidson
John Davidson
Lucretia Maria Davidson
Donald Davie
Alan Davies
Hugh Sykes Davies
Sir John Davies
W. H. Davies
Jon Davis
Edward Davison
Peter Davison
Denis Davydov
Dayaram
Gbor Dayka
Cecil Day-Lewis
James Deahl
Dulcie Deamer
John F. Deane
Ale Debeljak
Jean Louis De Esque
Madeline DeFrees
Jacek Dehnel
Thomas Dekker
Sor Juana Ins de la Cruz
Baltasar del Alczar
Walter de la Mare
Leconte de Lisle
Christine De Luca
Franois de Malherbe
Alfred de Musset
Grard de Nerval
Sir John Denham
Tory Dent
variste de Parny
Regina Derieva
Johan Andreas Dr Mouw
Toi Derricotte
Eustache Deschamps
Lord de Tabley
Babette Deutsch
Flix Lope de Vega y Carpio
Edward de Vere
Alfred de Vigny
Lakshmi Prasad Devkota
Phillippa Yaa de Villiers
Imtiaz Dharker
Dhurjati
Souloum Diagho
Pier Giorgio Di Cicco
Jennifer K Dick
James Dickey
Emily Dickinson
Matthew Dickman
Michael Dickman
Blaga Dimitrova
Ramdhari Singh Dinkar
Diane di Prima
Paul Dirmeikis
Vladislav Petkovi Dis
Thomas M. Disch
Tim Dlugos
Henry Austin Dobson
Stephen Dobyns
Lajos Dczi
Hendrik Doeff
Gojko ogo
Pete Doherty
Digby Mackworth Dolben
Joe Dolce
Mara Magdalena Domnguez
John Donne
H.D.
Ap Chuni Dorji
Edward Dorn
Tishani Doshi
Mark Doty
Sarah Doudney
Charles Montagu Doughty
Alice May Douglas
Gavin Douglas
Keith Douglas
Rita Dove
Ernest Dowson
